No,Exp,Run,Architecture,Loss,Optimizer,Accuracy,BA,MCC,F1 macro,Sensitivity,Precision,Specificity,F2,F1 per class,Sensitivity per class,Specificity per class,Max epoch,Max acc,tr_acc,val_acc
52,17,3,ResNet-50r,CE,Adam,0.992,0.9938,0.9872,0.994,0.994,0.993,0.9955,0.994,1.000    0.991 0.990,1.000  0.9842  0.9971,1.000  0.998  0.9886,8,0.9943,0.9907,0.9943
53,5,3,DenseNet-121,CE,Adam,0.9908,0.9925,0.9853,0.993,0.992,0.993,0.9947,0.992,1.000    0.990  0.988,1.000 0.9934  0.9841,1.000 0.9888  0.9953,8,0.9931,0.9949,0.9931
54,9,3,MobileNet-v3-large,CE,Adam,0.992,0.9935,0.9872,0.993,0.994,0.992,0.9956,0.994,0.997  0.991 0.991,1.000  0.9908  0.9899,0.9986  0.9929 0.9953,7,0.9914,0.9864,0.9914
55,1,3,CaiT,CE,Adam,0.9799,0.9816,0.9682,0.983,0.982,0.984,0.9888,0.982,0.993 0.979 0.975,0.9864 0.9658  0.9928,1.000  0.9949  0.9715,5,0.998,0.9938,0.9753
56,16,3,ResNet-50,wCE,AdamW,0.9885,0.9908,0.9817,0.99,0.991,0.989,0.9937,0.991,0.997 0.988  0.986,1.000  0.9868  0.9855,0.9986  0.9919  0.9905,6,0.9937,0.9909,0.9925
57,20,3,ResNet-50r,wCE,AdamW,0.9908,0.9927,0.9853,0.995,0.995,0.994,0.995,0.995,0.998   0.993  0.993,1.000  0.9882  0.9899,0.9986  0.9939  0.9924,8,0.9948,0.9933,0.9948
58,8,3,DenseNet-121,wCE,AdamW,0.9925,0.994,0.9881,0.994,0.994,0.994,0.9958,0.994,1.000    0.991 0.991,1.000  0.9908  0.9913,1.000  0.9939  0.9934,8,0.9954,0.9928,0.9954
59,12,3,MobileNet-v3-large,wCE,AdamW,0.9885,0.991,0.9817,0.989,0.991,0.988,0.9939,0.99,0.993 0.987 0.988,1.000  0.9803  0.9928,0.9972  0.9949  0.9896,7,0.9985,0.9849,0.988
60,4,3,CaiT,wCE,AdamW,0.9885,0.9909,0.9817,0.991,0.991,0.991,0.9935,0.991,1.000    0.987  0.985,1.000 0.9829  0.9899,1.000  0.9929 0.9877,8,0.9874,0.9924,0.9874
61,15,4,ResNet-50,wCE,Adam,0.9891,0.9912,0.9826,0.991,0.991,0.991,0.9937,0.991,1.000 0.988 0.986,1.0  0.9895 0.9841,1.0  0.9888 0.9924,6,0.9931,0.9941,0.992
62,19,4,ResNet-50r,wCE,Adam,0.9903,0.9919,0.9845,0.991,0.992,0.999,0.9945,0.993,0.997  0.990 0.988,1.0  0.9961  0.9797,0.9986 0.9878 0.9972,8,0.9937,0.9912,0.9937
63,7,4,DenseNet-121,wCE,Adam,0.9897,0.9916,0.9835,0.992,0.992,0.992,0.9941,0.992,1.000 0.988 0.987,1.0  0.9908 0.9841,1.0  0.9888 0.9934,7,0.9931,0.993,0.992
64,11,4,MobileNet-v3-large,wCE,Adam,0.9891,0.9907,0.9826,0.99,0.991,0.99,0.994,0.991,0.995 0.987 0.988,0.9966 0.9829 0.9928,0.9986  0.9939 0.9896,7,0.9897,0.985,0.9885
65,3,4,CaiT,wCE,Adam,0.9885,0.9906,0.9817,0.991,0.991,0.991,0.9934,0.991,1.000 0.987 0.985,1.0 0.9908 0.9812,1.0 0.9868 0.9934,7,0.9891,0.9939,0.9862
66,14,4,ResNet-50,CE,AdamW,0.9925,0.994,0.9881,0.994,0.994,0.993,0.9958,0.994,0.998   0.992  0.991,1.0  0.9921 0.9899,0.9993 0.9939 0.9943,6,0.9954,0.9929,0.9931
67,18,4,ResNet-50r,CE,AdamW,0.9914,0.993,0.9862,0.993,0.993,0.993,0.9951,0.993,1.000    0.990  0.989,1.0  0.9921 0.987,1.0  0.9909 0.9943,5,0.9948,0.991,0.9874
68,6,4,DenseNet-121,CE,AdamW,0.9885,0.9906,0.9817,0.99,0.99,0.991,0.9934,0.99,1.000 0.986 0.985,1.0  0.9921 0.9797,1.0  0.9858 0.9943,7,0.9931,0.9935,0.9925
69,10,4,MobileNet-v3-large,CE,AdamW,0.992,0.9936,0.9872,0.993,0.994,0.991,0.9957,0.993,0.995   0.991  0.992,0.9979 0.9949 0.9943,1.0  0.9882 0.9928,7,0.9914,0.9864,0.9914
70,2,4,CaiT,CE,AdamW,0.9862,0.9878,0.978,0.988,0.988,0.989,0.9923,0.988,0.997 0.985  0.983,0.9932 0.9789 0.9913,1.0  0.9929 0.9839,7,0.9862,0.9926,0.9857
71,13,4,ResNet-50,CE,Adam,0.9925,0.9939,0.9881,0.994,0.994,0.994,0.9957,0.994,1.0    0.991 0.991,1.0  0.9961  0.9855,1.0  0.9898  0.9972,7,0.9954,0.9938,0.9931
72,17,4,ResNet-50r,CE,Adam,0.9834,0.9826,0.9734,0.984,0.983,0.986,0.9906,0.984,0.988 0.982 0.983,0.9796 0.9842 0.9841,0.9993 0.9848 0.9877,5,0.9948,0.9889,0.9891
73,5,4,DenseNet-121,CE,Adam,0.9914,0.9928,0.9863,0.993,0.993,0.994,0.995,0.993,1.0    0.990  0.989,1.0    0.9974   0.9812,1.0 0.9868 0.9981,7,0.9948,0.9948,0.9908
74,9,4,MobileNet-v3-large,CE,Adam,0.9908,0.9926,0.9853,0.991,0.993,0.991,0.995,0.993,0.995   0.989  0.991,1.0  0.9895  0.9884,0.9979  0.9919 0.9953,7,0.9914,0.9862,0.9902
75,1,4,CaiT,CE,Adam,0.9839,0.9848,0.9744,0.986,0.985,0.987,0.991,0.985,0.993 0.981 0.983,0.9864 0.9737 0.9942,1.0 0.9919 0.981,5,0.9862,0.9939,0.9816
76,16,4,ResNet-50,wCE,AdamW,0.9903,0.9924,0.9845,0.992,0.992,0.991,0.9947,0.992,0.998   0.989  0.988,1.0  0.9816 0.9957,0.9993 0.997 0.9877,8,0.9948,0.993,0.9948
77,20,4,ResNet-50r,wCE,AdamW,0.9891,0.9897,0.9891,0.991,0.99,0.991,0.9937,0.99,0.997 0.988  0.987,0.9932 0.9947 0.9812,1.0 0.9858 0.9953,7,0.9931,0.9938,0.9874
78,8,4,DenseNet-121,wCE,AdamW,0.9834,0.9861,0.9736,0.987,0.986,0.987,0.9903,0.986,1.000   0.981  0.979,1.0  0.9961  0.9623,1.0  0.9736 0.9972,6,0.9937,0.992,0.9834
79,12,4,MobileNet-v3-large,wCE,AdamW,0.9908,0.992,0.9853,0.992,0.993,0.991,0.995,0.993,0.997 0.989  0.990,1.0  0.9855 0.9928,0.9986 0.9949 0.9915,7,0.9902,0.9842,0.9897
80,4,4,CaiT,wCE,AdamW,0.9872,0.9813,0.9654,0.982,0.981,0.983,0.9873,0.981,0.998 0.975 0.973,0.9966 0.9921 0.9551,1.000 0.9675 0.9943,6,0.9891,0.9925,0.9816
81,15,5,ResNet-50,wCE,Adam,0.9914,0.9932,0.9863,0.993,0.993,0.993,0.9951,0.993,1.000    0.990  0.989,1.0  0.9868 0.9928,1.0 0.9949 0.9905,6,0.9925,0.9928,0.9908
82,19,5,ResNet-50r,wCE,Adam,0.9885,0.9908,0.9817,0.99,0.991,0.99,0.9935,0.991,0.998   0.987  0.986,1.0  0.9868 0.9855,0.9993 0.9898 0.9915,4,0.9914,0.9925,0.9908
83,7,5,DenseNet-121,wCE,Adam,0.9885,0.9909,0.9817,0.99,0.991,0.99,0.9936,0.991,0.998   0.987  0.986,1.0  0.9829 0.9899,0.9993 0.9939 0.9877,7,0.9948,0.9953,0.9931
84,11,5,MobileNet-v3-large,wCE,Adam,0.9903,0.9916,0.9844,0.991,0.992,0.991,0.9947,0.992,0.995   0.989  0.9890,0.9966 0.9855 0.9928,0.9986 0.9939 0.9915,7,0.9891,0.9842,0.9874
85,3,5,CaiT,wCE,Adam,0.9702,0.9553,0.9524,0.965,0.955,0.976,0.9829,0.959,0.941 0.966 0.986,0.8946 0.9829 0.9884,0.9986 0.9604 0.9896,6,0.9857,0.9934,0.9644
86,14,5,ResNet-50,CE,AdamW,0.9903,0.9921,0.9844,0.991,0.992,0.99,0.9947,0.992,0.993 0.989 0.991,1.0  0.9908 0.9855,0.9972 0.9898 0.9972,6,0.9948,0.9945,0.9902
87,18,5,ResNet-50r,CE,AdamW,0.9903,0.9924,0.9845,0.992,0.992,0.992,0.9945,0.992,1.000 0.989 0.988,1.0  0.9829 0.9942,1.0  0.9959 0.9877,5,0.992,0.9946,0.9862
88,6,5,DenseNet-121,CE,AdamW,0.9925,0.994,0.9881,0.994,0.994,0.994,0.9957,0.994,1.000    0.991 0.991,1.0  0.9921  0.9898,1.0  0.9929  0.9943,6,0.9925,0.9948,0.9925
89,10,5,MobileNet-v3-large,CE,AdamW,0.9874,0.9897,0.9799,0.989,0.99,0.988,0.993,0.99,0.995 0.986 0.986,1.0  0.9908 0.9783,0.9979 0.9848 0.9962,7,0.988,0.9856,0.9868
90,2,5,CaiT,CE,AdamW,0.9914,0.9933,0.9863,0.993,0.993,0.992,0.9953,0.993,0.998   0.990  0.990,1.0  0.9842 0.9957,1.0  0.9842 0.9957,7,0.988,0.9931,0.9874
91,13,5,ResNet-50,CE,Adam,0.9861,0.9877,0.9762,0.988,0.988,0.988,0.9913,0.988,1.000 0.983 0.981,1.0  0.9921 0.971,1.0   0.9797  0.9943,6,0.9925,0.994,0.9902
92,17,5,ResNet-50r,CE,Adam,0.9925,0.9939,0.9881,0.994,0.994,0.994,0.9957,0.994,1.000    0.991 0.991,1.0  0.9934  0.9884,1.0  0.9919 0.9953,8,0.9931,0.9919,0.9931
93,5,5,DenseNet-121,CE,Adam,0.9937,0.9948,0.9899,0.995,0.995,0.995,0.9964,0.995,1.000 0.993 0.992,1.000 0.9961 0.9884,1.000  0.9919 0.9972,6,0.992,0.9936,0.9897
94,9,5,MobileNet-v3-large,CE,Adam,0.9862,0.9887,0.9781,0.989,0.989,0.989,0.992,0.989,1.000 0.984 0.982,1.0  0.9921  0.9739,1.0 0.9817  0.9943,7,0.988,0.9867,0.9811
95,1,5,CaiT,CE,Adam,0.9897,0.9911,0.9835,0.991,0.991,0.992,0.9941,0.991,0.998   0.988  0.988,0.9966 0.9868 0.9899,1.0  0.9919  0.9905,5,0.9931,0.9941,0.9914
96,16,5,ResNet-50,wCE,AdamW,0.9897,0.9917,0.9835,0.992,0.992,0.992,0.9941,0.992,1.000 0.988 0.987,1.00 0.9868 0.9884,1.0  0.9919  0.9905,6,0.9931,0.9913,0.9885
97,20,5,ResNet-50r,wCE,AdamW,0.9954,0.9963,0.9927,0.996,0.996,0.996,0.9974,0.996,1.000    0.995 0.994,1.0  0.9947 0.9942,1.0 0.9959  0.9962,8,0.9966,0.9902,0.9836
98,8,5,DenseNet-121,wCE,AdamW,0.9914,0.9932,0.9863,0.993,0.993,0.993,0.9951,0.993,1.000    0.990  0.989,1.0 0.9868 0.9928,1.0  0.9949 0.9905,5,0.9908,0.9935,0.9897
99,12,5,MobileNet-v3-large,wCE,AdamW,0.9845,0.9872,0.9753,0.999,0.987,0.988,0.991,0.987,1.000    0.982  0.980,1.0  0.9921 0.9696,1.0  0.9787 0.9943,7,0.9885,0.9852,0.9834
100,4,5,CaiT,wCE,AdamW,0.988,0.9903,0.9807,0.99,0.99,0.989,0.9933,0.99,0.997 0.987  0.985,1.0    0.9868 0.9841,0.9986 0.9898 0.9915,7,0.9885,0.9948,0.9862
101,15,6,ResNet-50,wCE,Adam,0.9908,0.9926,0.9853,0.991,0.991,0.99,0.9948,0.991,0.997 0.987  0.988,1.000 0.9908 0.987,0.9993 0.9909 0.9943,6,0.9925,0.9943,0.992
102,19,6,ResNet-50r,wCE,Adam,0.988,0.9902,0.9808,0.99,0.99,0.99,0.9931,0.99,0.998  0.986 0.985,1.0  0.9908 0.979,0.9993 0.9858 0.9943,6,0.9925,0.9915,0.992
103,7,6,DenseNet-121,wCE,Adam,0.986,0.9891,0.978,0.989,0.989,0.989,0.9922,0.989,1.000 0.984 0.983,1.0  0.9789 0.9884,1.0  0.9919 0.9848,6,0.9937,0.9925,0.9902
104,11,6,MobileNet-v3-large,wCE,Adam,0.9817,0.9835,0.9708,0.988,0.987,0.988,0.9839,0.987,0.997  0.980 0.977,0.9932 0.9921 0.9652,1.0  0.9746 0.9934,7,0.9874,0.985,0.9765
105,3,6,CaiT,wCE,Adam,0.9857,0.9871,0.9771,0.988,0.987,0.989,0.9918,0.987,0.997 0.984  0.983,0.9932 0.9855 0.9826,1.0 0.9868 0.9886,5,0.9891,0.993,0.9862
106,14,6,ResNet-50,CE,AdamW,0.9914,0.9929,0.9863,0.993,0.993,0.993,0.995,0.993,1.000    0.990  0.989,1.0  0.9947 0.9841,1.0 0.9888 0.9962,8,0.9943,0.9946,0.9943
107,18,6,ResNet-50r,CE,AdamW,0.9897,0.9916,0.9835,0.992,0.992,0.992,0.9941,0.992,1.0    0.988  0.987,1.0  0.9908 0.9841,1.0  0.9888 0.9934,8,0.992,0.9927,0.992
108,6,6,DenseNet-121,CE,AdamW,0.9931,0.9944,0.989,0.994,0.994,0.995,0.9961,0.994,1.000 0.992 0.991,1.000     0.9934 0.9899,1.000    0.9929 0.9953,6,0.9931,0.9956,0.9931
109,10,6,MobileNet-v3-large,CE,AdamW,0.9897,0.9918,0.9835,0.991,0.992,0.991,0.9943,0.992,0.988 0.998 0.988,1.0  0.9842 0.9913,0.9993 0.9939  0.9896,7,0.992,0.9493,0.9714
110,2,6,CaiT,CE,AdamW,0.9891,0.9914,0.9826,0.991,0.991,0.99,0.994,0.991,0.998   0.987  0.987,1.0 0.9816 0.9928,0.9993 0.9949 0.9877,7,0.9897,0.9919,0.9891
111,13,6,ResNet-50,CE,Adam,0.9885,0.9909,0.9817,0.991,0.991,0.991,0.9935,0.991,1.000    0.987  0.986,1.0  0.9842  0.9884,1.0   0.9919  0.9886,6,0.9925,0.9929,0.9902
112,17,6,ResNet-50r,CE,Adam,0.9885,0.9897,0.9817,0.989,0.99,0.989,0.9937,0.99,0.993 0.987 0.988,0.9932  0.9816  0.9942,0.9986  0.9949  0.9877,7,0.9943,0.9935,0.9902
113,5,6,DenseNet-121,CE,Adam,0.9897,0.9917,0.9835,0.992,0.992,0.992,0.9941,0.992,1.000 0.988 0.987,1.0 0.9868 0.9884,1.0  0.9919 0.9905,7,0.9948,0.9951,0.988
114,9,6,MobileNet-v3-large,CE,Adam,0.9851,0.9871,0.9762,0.988,0.987,0.988,0.9914,0.987,0.998 0.993 0.982,0.9966 0.9908 0.9739,1.0  0.9807 0.9934,7,0.9874,0.9867,0.9839
115,1,6,CaiT,CE,Adam,0.9885,0.9905,0.9817,0.99,0.991,0.99,0.9935,0.991,0.997 0.988  0.985,1.000  0.9947 0.9768,0.9986 0.9858 0.9962,8,0.9908,0.9928,0.9908
116,16,6,ResNet-50,wCE,AdamW,0.9931,0.9944,0.989,0.994,0.994,0.994,0.9961,0.994,0.998   0.992  0.992,1.000  0.9947 0.9884,0.9993 0.9919 0.9972,8,0.9937,0.994,0.9937
117,20,6,ResNet-50r,wCE,AdamW,0.9908,0.9926,0.9853,0.992,0.993,0.992,0.9949,0.993,0.998   0.989  0.989,1.0  0.9895 0.9884,0.9993 0.9919 0.9934,8,0.9931,0.991,0.9931
118,8,6,DenseNet-121,wCE,AdamW,0.9874,0.9896,0.9799,0.993,0.993,0.993,0.9927,0.993,1.000   0.990  0.989,1.0  0.9921 0.9768,1.0  0.9837 0.9943,8,0.9937,0.9945,0.9937
119,12,6,MobileNet-v3-large,wCE,AdamW,0.9868,0.9892,0.979,0.989,0.989,0.99,0.9923,0.989,1.000 0.985 0.983,1.0  0.9921  0.9754,1.0 0.9827  0.9943,7,0.988,0.9842,0.9857
120,4,6,CaiT,wCE,AdamW,0.992,0.9936,0.9872,0.994,0.994,0.993,0.9955,0.994,1.000    0.991 0.990,1.000     0.9882 0.9928,1.000   0.9949 0.9915,8,0.9891,0.9954,0.9891
121,15,7,ResNet-50,wCE,Adam,0.9943,0.9954,0.9908,0.995,0.995,0.995,0.9967,0.995,1.000   0.993  0.993,1.000    0.9921 0.9942,1.000   0.9959  0.9943,5,0.9943,0.9938,0.9943
122,19,7,ResNet-50r,wCE,Adam,0.9897,0.992,0.9836,0.992,0.992,0.992,0.9943,0.992,1.000 0.988 0.987,1.000   0.9803 0.9957,1.0    0.997  0.9858,8,0.9948,0.9933,0.9948
123,7,7,DenseNet-121,wCE,Adam,0.9748,0.979,0.9602,0.979,0.979,0.979,0.9855,0.979,0.995 0.972 0.970,1.000 0.9921 0.9449,0.9979 0.9614 0.9972,6,0.9937,0.9961,0.9845
124,11,7,MobileNet-v3-large,wCE,Adam,0.9874,0.989,0.9798,0.99,0.989,0.99,0.9927,0.989,0.998 0.986 0.985,0.9966 0.9908 0.9797,1.0  0.9848 0.9934,7,0.9874,0.9839,0.9851
125,3,7,CaiT,wCE,Adam,0.9845,0.9873,0.9753,0.988,0.987,0.988,0.991,0.987,1.000    0.982  0.980,1.0    0.9895  0.9725,1.0    0.9895 0.9725,7,0.9874,0.9945,0.9828
126,14,7,ResNet-50,CE,AdamW,0.9897,0.9911,0.9835,0.991,0.991,0.99,0.9943,0.991,0.995 0.988 0.989,0.9966 0.9855 0.9913,0.9986 0.9929 0.9915,8,0.9914,0.9933,0.9914
127,18,7,ResNet-50r,CE,AdamW,0.9931,0.9944,0.989,0.994,0.994,0.995,0.9961,0.994,1.000 0.992 0.991,1.000 0.9934 0.9899,1.000 0.9929 0.9953,8,0.9966,0.994,0.9966
128,6,7,DenseNet-121,CE,AdamW,0.9937,0.9949,0.9899,0.995,0.995,0.995,0.9937,0.995,1.000 0.993 0.992,1.0     0.9934 0.9913,1.0     0.9939 0.9953,8,0.9931,0.9941,0.9931
129,10,7,MobileNet-v3-large,CE,AdamW,0.992,0.9935,0.9872,0.993,0.994,0.992,0.9957,0.994,0.995 0.991 0.992,1.000 0.9921  0.9884,0.9979 0.9919 0.9972,6,0.9891,0.9853,0.9874
130,2,7,CaiT,CE,AdamW,0.9897,0.9917,0.9835,0.992,0.992,0.992,0.9941,0.992,1.000 0.988 0.987,1.000 0.9882 0.987,1.000  0.9909 0.9915,8,0.9885,0.9939,0.9885
131,13,7,ResNet-50,CE,Adam,0.9857,0.9881,0.9772,0.988,0.988,0.988,0.9917,0.988,0.998 0.984 0.982,1.0  0.9934  0.971,0.9993 0.9797 0.9962,7,0.9943,0.995,0.9902
132,17,7,ResNet-50r,CE,Adam,0.9868,0.9899,0.9791,0.989,0.99,0.989,0.9927,0.99,1.000    0.985  0.984,1.0   0.9711 0.9986,1.0   0.999  0.9791,5,0.9937,0.9927,0.988
133,5,7,DenseNet-121,CE,Adam,0.9914,0.9931,0.9862,0.993,0.993,0.993,0.9951,0.993,1.000 0.990 0.989,1.000     0.9895 0.9899,1.000    0.9929 0.9924,5,0.9937,0.995,0.9891
134,9,7,MobileNet-v3-large,CE,Adam,0.9885,0.9908,0.9817,0.99,0.991,0.989,0.9937,0.991,0.997 0.987 0.987,1.000     0.9855 0.987,0.9986 0.9909 0.9915,8,0.988,0.9854,0.988
135,1,7,CaiT,CE,Adam,0.9788,0.9823,0.9664,0.983,0.982,0.983,0.9877,0.982,0.998 0.977 0.973,1.000     0.9947 0.9522,0.9993 0.9675 0.9962,7,0.9874,0.994,0.9759
136,16,7,ResNet-50,wCE,AdamW,0.986,0.9883,0.9773,0.988,0.988,0.988,0.9921,0.988,0.997 0.984  0.983,0.9966 0.9711 0.9971,0.9993 0.998  0.9791,6,0.9943,0.9923,0.9897
137,20,7,ResNet-50r,wCE,AdamW,0.993,0.994,0.9881,0.994,0.994,0.994,0.9957,0.994,1.000    0.991 0.991,1.000 0.9921 0.9899,1.000 0.9929 0.9943,8,0.9966,0.9926,0.9966
138,8,7,DenseNet-121,wCE,AdamW,0.989,0.9896,0.9817,0.99,0.99,0.99,0.9936,0.99,0.995 0.987 0.988,0.9932 0.9829 0.9928,0.9993 0.9929 0.9886,7,0.9937,0.9956,0.9937
139,12,7,MobileNet-v3-large,wCE,AdamW,0.989,0.9914,0.9826,0.99,0.991,0.988,0.9943,0.99,0.992 0.987 0.990,1.000 0.9829 0.9913,0.9966 0.9939 0.9924,7,0.988,0.9838,0.9857
140,4,7,CaiT,wCE,AdamW,0.987,0.9902,0.9799,0.99,0.99,0.99,0.9929,0.99,1.000  0.985  0.984,1.000     0.9763 0.9942,1.000     0.9959 0.9829,5,0.9897,0.9942,0.9828
141,15,8,ResNet-50,wCE,Adam,0.9908,0.9928,0.9854,0.993,0.993,0.992,0.9948,0.99273,1.000 0.984 0.988,1.000 0.984 0.994,1.000 0.9959 0.9886,6,0.9937,0.9933,0.9931
